is_holiday,air_pollution_index,temperature,rain_p_h,visibility_in_miles,time_of_day,traffic_condition
0,134.5,27.2,37.7,3.0,1,1
1,68.4,33.3,25.9,8.6,1,1
0,91.6,39.5,25.1,5.2,2,1
0,168.5,31.7,32.1,7.9,2,1
1,347.0,19.1,19.5,9.9,2,1
1,215.9,38.2,44.8,7.4,2,1
1,229.8,17.7,33.0,6.3,2,1
0,136.2,15.3,19.8,3.0,1,1
0,286.2,39.8,43.4,8.4,2,1
1,212.8,20.1,21.1,7.0,1,1
1,268.3,39.8,38.3,8.1,1,1
0,60.1,16.7,42.3,3.7,1,1
1,354.1,36.9,19.1,5.6,2,1
0,328.6,34.0,21.7,3.3,2,1
0,82.4,27.1,31.5,7.9,1,1
1,323.3,29.7,14.1,6.3,2,1
1,119.8,21.3,19.9,3.1,2,1
1,300.5,24.5,34.5,4.3,2,1
0,148.7,19.5,26.8,6.0,1,1
1,179.5,36.1,34.5,9.8,1,1
1,220.6,20.0,19.5,4.2,2,1
0,197.6,23.2,12.4,8.7,2,1
1,139.8,39.1,28.8,6.3,1,1
1,181.4,34.3,26.5,3.0,2,1
1,289.9,31.1,49.1,4.8,2,1
0,358.7,33.9,10.8,3.8,1,1
1,274.4,17.3,14.2,6.3,2,1
0,145.8,25.1,8.0,7.1,1,1
1,253.6,25.8,32.4,3.0,1,1
0,321.7,36.8,49.6,5.9,2,1
1,176.6,34.8,8.8,5.3,1,1
1,326.4,38.1,20.1,7.9,1,1
0,114.4,26.6,18.9,3.0,1,1
1,230.4,25.8,25.9,8.5,1,1
1,347.9,30.4,41.3,6.5,1,1
0,201.5,24.3,31.1,7.9,1,1
0,139.3,22.8,6.9,3.0,2,1
1,206.0,17.3,3.3,5.2,2,1
0,308.0,16.5,12.8,3.0,1,1
1,95.3,29.5,7.4,3.0,1,1
0,92.2,29.0,17.7,8.4,2,1
0,333.6,28.9,46.6,3.0,2,1
0,241.6,25.3,26.8,4.7,1,1
1,337.7,32.7,37.4,5.5,1,1
1,160.2,36.5,0.1,6.9,1,1
1,244.4,17.1,25.5,6.0,1,1
1,357.7,39.7,1.2,4.6,2,1
1,128.3,31.1,5.3,7.3,2,1
0,231.6,30.5,38.1,10.0,1,1
1,333.4,15.2,49.6,7.7,2,1
1,315.5,33.4,22.9,3.0,2,1
0,230.3,33.2,34.9,9.2,2,1
0,142.0,30.0,7.6,3.5,1,1
1,232.6,28.4,1.1,9.2,1,1
0,323.5,15.9,0.4,3.0,1,1
1,132.6,17.0,11.6,6.8,1,1
1,84.0,36.5,36.5,3.0,1,1
1,299.2,32.8,18.2,7.7,2,1
0,208.8,21.1,13.1,7.5,1,1
0,199.4,32.7,26.7,3.8,2,1
0,339.7,27.7,16.4,9.4,2,1
0,95.9,39.2,32.6,8.9,1,1
0,357.0,25.6,12.7,7.6,2,1
0,161.2,25.3,42.0,9.8,2,1
0,334.0,18.6,31.9,9.4,2,1
1,222.1,37.5,3.1,8.6,1,1
1,211.9,28.9,4.8,7.7,1,1
1,136.3,17.1,27.1,7.6,1,1
1,345.8,20.5,43.7,9.8,2,1
0,307.6,25.1,10.1,4.1,1,1
0,199.6,21.1,10.7,3.0,2,1
0,149.6,36.1,23.2,3.6,1,1
1,179.9,23.4,42.3,5.8,1,1
1,132.6,29.7,50.0,8.7,1,1
0,207.8,37.1,45.2,3.0,2,1
1,121.9,19.7,17.3,9.8,2,1
1,346.1,30.4,13.2,6.7,2,1
0,198.8,30.1,28.2,7.9,1,1
1,264.5,26.6,43.0,8.0,2,1
0,86.5,21.2,49.8,3.0,2,1
1,185.0,32.5,3.1,5.2,1,1
1,291.7,34.3,2.6,7.8,1,1
1,103.6,16.7,2.7,7.6,1,1
1,193.2,28.4,8.7,8.1,2,1
0,274.4,17.4,16.0,8.1,1,1
1,237.4,35.2,26.7,3.6,2,1
0,195.0,19.3,35.6,8.0,1,1
0,233.3,38.9,40.6,4.6,1,1
1,128.0,35.5,39.5,3.0,1,1
1,348.1,30.6,40.4,9.9,2,1
0,283.7,38.8,6.0,3.8,2,1
1,113.4,32.9,3.6,3.0,2,1
0,342.5,34.4,0.2,3.0,1,1
1,205.0,39.3,19.7,3.2,2,1
1,278.9,19.5,18.5,6.1,1,1
1,250.0,24.0,44.9,8.2,2,1
0,113.8,37.4,9.8,3.0,2,1
1,282.2,39.9,35.2,5.8,2,1
1,150.5,30.0,49.5,8.8,1,1
1,303.1,21.9,29.7,3.0,2,1
0,112.2,18.3,47.8,3.0,1,1
0,347.4,24.5,0.9,4.9,2,1
0,139.4,16.9,6.0,9.1,2,1
1,90.1,29.6,38.8,6.5,2,1
0,78.7,35.2,3.8,8.4,1,1
1,64.1,16.9,46.2,7.6,1,1
1,324.7,30.1,6.3,3.0,2,1
1,185.5,15.8,21.4,3.0,1,1
1,203.6,18.5,36.8,3.0,1,1
0,244.8,38.4,12.3,8.1,2,1
0,155.4,17.6,23.7,3.0,1,1
0,332.0,16.5,46.2,5.2,2,1
1,179.5,29.5,44.8,10.0,1,1
0,66.8,31.4,35.6,3.0,2,1
1,326.2,23.9,11.1,4.8,2,1
1,64.9,37.7,6.7,8.9,2,1
1,287.6,17.9,34.1,4.8,2,1
1,274.2,32.0,36.6,9.0,1,1
0,224.4,24.4,24.4,4.9,1,1
1,263.6,34.3,0.6,7.0,2,1
0,244.6,33.5,37.7,6.7,2,1
1,116.0,15.4,28.0,6.5,1,1
0,359.5,26.9,15.2,4.5,2,1
0,281.6,17.6,44.4,5.7,1,1
1,175.3,30.3,27.9,3.5,1,1
0,267.1,31.0,24.6,5.9,1,1
1,224.4,31.4,21.9,8.1,1,1
0,319.2,21.5,0.1,3.0,2,1
0,187.6,34.6,20.1,8.6,1,1
1,191.9,17.4,29.4,9.4,2,1
1,123.4,26.5,37.8,3.0,2,1
0,235.6,28.2,39.9,7.4,2,1
1,215.4,24.1,1.1,7.4,1,1
1,182.4,32.0,23.5,5.0,2,1
0,170.5,31.3,48.5,9.5,1,1
0,253.8,35.3,42.0,3.0,2,1
0,117.1,17.4,33.5,9.4,2,1
1,336.2,32.1,18.1,9.3,1,1
1,138.8,18.7,50.0,4.9,1,1
0,82.6,28.3,49.7,6.5,2,1
1,286.0,37.3,4.0,3.0,2,1
0,236.0,25.4,32.4,7.8,2,1
1,77.4,38.5,44.8,9.9,2,1
1,330.2,28.9,46.3,3.0,2,1
0,174.6,16.8,26.1,5.7,2,1
1,252.0,32.8,40.0,3.0,1,1
0,210.4,30.7,8.8,7.7,1,1
1,359.6,35.0,45.3,7.7,2,1
0,75.2,21.8,8.7,4.8,1,1
1,342.2,16.0,15.2,7.7,2,1
0,141.7,27.1,7.3,3.0,1,1
0,130.4,17.5,47.8,9.7,2,1
0,152.4,30.7,22.7,6.7,2,1
0,69.0,29.7,13.5,4.1,1,1
1,143.3,16.4,16.7,6.3,1,1
1,126.7,35.9,39.3,3.0,2,1
0,76.1,27.2,12.2,3.0,2,1
0,65.3,27.7,11.4,3.3,1,1
1,279.4,16.6,46.3,8.4,2,1
1,277.6,21.1,3.5,3.0,1,1
1,146.9,25.3,15.1,7.2,2,1
1,200.0,32.9,7.4,7.0,2,1
1,304.0,30.8,7.1,3.0,1,1
0,109.6,33.5,48.1,3.9,1,1
1,196.6,37.1,36.7,3.0,2,1
0,280.9,28.1,40.4,4.9,2,1
1,350.8,34.3,27.3,4.2,2,1
0,245.9,30.8,49.7,4.4,2,1
0,74.4,36.4,2.6,5.7,1,1
1,176.5,33.5,36.4,7.1,1,1
0,135.4,17.0,13.5,6.2,2,1
1,164.8,17.9,25.6,8.7,2,1
0,85.8,15.3,37.0,9.8,1,1
1,238.0,25.4,18.0,3.8,1,1
0,250.6,18.0,33.8,9.5,1,1
0,310.8,18.9,22.0,5.7,2,1
1,259.6,31.3,35.8,5.9,1,1
1,148.1,20.0,4.7,3.0,2,1
0,170.5,33.7,11.8,6.8,2,1
1,179.9,31.1,32.6,3.4,1,1
1,252.0,25.5,15.9,8.5,1,1
1,241.7,30.5,23.2,5.5,2,1
1,241.6,26.1,46.5,8.0,2,1
0,60.7,39.2,18.2,4.2,1,1
0,225.7,29.1,22.4,3.0,1,1
0,194.0,15.2,39.6,3.0,1,1
1,256.1,34.1,22.8,3.0,1,1
0,175.9,24.9,34.1,5.2,2,1
0,299.5,37.7,13.5,5.6,2,1
1,210.5,19.2,37.2,3.0,2,1
0,178.4,22.1,42.2,3.0,1,1
0,356.6,26.6,22.7,3.0,2,1
1,266.0,39.0,35.4,9.3,2,1
1,61.3,39.2,36.8,9.0,1,1
0,91.4,38.2,12.4,3.9,1,1
1,131.8,19.2,50.0,9.7,2,1
0,334.9,32.6,10.5,8.6,2,1
0,233.4,36.8,9.8,7.7,2,1
1,87.7,38.2,18.8,4.8,1,1
1,349.3,31.1,21.9,3.2,2,1
1,273.4,16.7,14.7,8.7,2,1
0,309.6,17.7,6.8,4.4,2,1
0,339.4,32.5,45.3,3.0,1,1
1,327.6,20.8,2.3,5.9,1,1
0,325.9,34.2,16.4,4.8,1,1
1,220.8,28.1,47.1,6.3,1,1
0,185.4,15.0,0.4,4.5,2,1
1,152.3,35.5,21.7,7.8,2,1
0,276.7,27.8,20.1,3.0,2,1
0,155.9,30.9,18.2,9.1,2,1
0,132.4,27.7,11.2,3.0,2,1
0,150.5,17.5,36.6,9.8,2,1
0,326.0,39.3,1.7,8.1,1,1
0,259.8,19.5,7.4,4.7,2,1
1,191.6,16.4,3.3,3.6,1,1
1,275.3,26.6,5.2,3.0,2,1
1,156.1,37.9,18.5,7.8,1,1
1,123.2,20.1,22.1,7.4,1,1
0,355.4,25.9,47.3,7.4,1,1
0,164.2,30.2,5.3,3.0,2,1
0,185.0,38.5,24.6,7.3,1,1
1,275.9,19.9,48.5,3.0,1,1
0,296.0,19.2,34.9,5.2,2,1
0,118.1,25.4,46.1,9.1,2,1
1,104.2,18.2,42.8,5.6,1,1
1,275.4,17.9,27.0,3.0,2,1
1,184.2,27.1,18.8,3.5,1,1
0,128.4,16.3,3.0,5.8,2,1
0,239.8,18.1,42.1,3.4,2,1
1,277.0,21.0,45.0,10.0,1,1
1,132.8,33.8,46.8,7.2,2,1
0,239.3,38.3,10.6,8.3,2,1
0,283.8,33.9,11.7,5.4,1,1
0,73.9,36.9,16.3,9.9,1,1
1,260.5,30.0,34.0,3.0,1,1
0,297.5,23.1,12.4,6.5,2,1
0,64.1,35.0,2.0,7.9,2,1
0,202.1,35.0,31.8,6.0,2,1
1,291.0,37.6,17.6,10.0,1,1
1,320.6,21.9,33.4,7.4,1,1
1,68.5,25.6,42.4,7.9,1,1
1,318.4,24.9,24.0,4.5,2,1
0,263.0,32.9,29.4,8.6,2,1
1,283.4,39.0,20.7,7.3,2,1
1,218.4,30.3,2.6,6.7,1,1
0,264.7,27.1,30.8,3.0,1,1
1,230.0,15.5,48.6,5.6,1,1
0,241.8,27.2,21.8,3.6,2,1
1,99.7,29.1,41.0,3.0,2,1
1,191.5,36.3,18.7,8.0,1,1
1,65.8,18.1,49.8,6.4,1,1
1,353.4,35.3,7.9,4.4,2,1
1,296.3,23.3,4.4,8.9,1,1
1,228.7,23.3,47.5,8.8,2,1
0,86.0,15.5,42.3,6.9,2,1
1,112.9,22.9,3.6,6.9,2,1
0,276.6,35.3,46.0,3.6,2,1
1,90.6,36.2,49.7,7.4,1,1
1,79.0,34.7,22.7,8.8,2,1
1,244.2,31.2,8.0,3.0,2,1
1,211.3,38.2,27.6,7.8,1,1
1,258.1,15.8,5.0,6.5,2,1
0,218.2,28.8,41.1,3.5,1,1
0,246.4,21.1,41.1,5.4,1,1
0,195.7,26.9,46.5,5.9,2,1
0,178.1,20.5,8.7,9.2,1,1
1,179.8,31.3,12.1,3.0,2,1
1,257.2,23.0,29.2,7.9,2,1
1,233.9,34.0,41.8,3.0,1,1
0,161.3,35.7,6.9,3.0,2,1
0,295.9,35.1,11.6,5.9,1,1
0,260.5,30.8,34.8,8.0,1,1
1,146.3,18.2,3.3,5.1,2,1
1,117.7,22.0,49.4,4.0,1,1
1,356.4,25.7,21.2,8.6,1,1
1,325.7,32.7,44.4,9.9,2,1
1,211.0,30.8,42.6,9.9,1,1
0,225.8,32.1,37.0,6.2,1,1
0,169.2,21.6,49.4,6.6,2,1
0,346.4,34.0,15.1,8.8,2,1
1,90.7,15.1,12.7,4.2,1,1
1,302.0,16.8,40.7,9.3,1,1
0,192.1,34.6,37.5,4.9,2,1
0,200.0,33.4,16.7,8.8,2,1
1,115.4,26.2,39.1,3.0,1,1
0,196.8,30.8,43.6,5.3,1,1
1,243.5,38.0,33.9,9.6,2,1
1,143.2,29.8,6.0,6.1,2,1
0,232.1,23.7,1.7,5.4,1,1
0,240.2,19.3,36.4,9.7,2,1
0,139.0,18.6,8.0,4.1,2,1
0,355.8,33.5,47.9,6.1,1,1
1,244.7,34.5,35.2,8.6,1,1
0,275.3,35.2,19.0,4.3,1,1
1,94.6,33.4,29.2,8.1,1,1
1,197.8,36.3,18.6,3.0,2,1
1,270.1,31.3,3.8,7.1,1,1
0,226.0,23.3,15.4,4.6,2,1
1,348.0,27.0,47.8,3.0,2,1
0,65.9,33.2,3.0,3.0,1,1
1,320.5,17.6,38.0,5.3,2,1
1,179.5,36.9,24.5,3.0,2,1
1,239.3,38.4,38.6,8.6,1,1
1,250.7,39.7,47.9,7.9,1,1
0,297.8,39.2,29.5,7.6,1,1
0,294.5,21.6,28.4,6.3,2,1
0,359.4,33.9,27.8,8.8,2,1
0,273.2,38.0,18.3,3.0,2,1
1,133.4,29.0,17.4,4.0,2,1
1,329.8,23.2,32.9,9.8,2,1
1,315.0,18.1,23.9,3.0,1,1
0,221.0,39.3,7.4,3.0,2,1
0,103.8,30.8,17.6,8.3,1,1
0,317.6,16.7,21.5,3.0,1,1
0,223.8,17.4,23.5,6.0,1,1
0,238.4,25.3,8.0,3.0,2,1
0,263.2,24.9,38.4,7.4,1,1
1,310.0,23.7,11.3,4.3,1,1
0,98.8,39.1,4.5,7.3,1,1
1,303.4,19.9,10.5,6.1,1,1
1,350.0,21.5,9.7,8.0,1,1
1,222.5,31.8,27.3,4.8,1,1
1,358.2,19.0,45.5,3.5,2,1
0,164.6,27.9,47.9,3.0,1,1
0,192.1,26.7,46.1,8.5,1,1
0,130.7,16.1,41.4,9.1,1,1
0,225.0,35.9,26.8,6.7,2,1
1,100.9,28.0,0.7,7.2,2,1
0,146.3,22.2,48.9,5.2,1,1
1,268.6,20.7,18.2,6.3,1,1
0,101.2,27.7,4.9,5.8,2,1
1,114.1,30.1,0.4,3.0,2,1
1,160.1,22.0,3.1,9.7,2,1
0,132.2,35.2,33.6,3.0,1,1
0,268.6,25.1,0.9,3.0,2,1
1,190.2,37.9,46.2,3.0,2,1
0,240.4,15.4,21.7,3.0,2,1
0,237.7,33.6,25.9,9.5,2,1
1,274.9,36.8,10.1,3.0,2,1
0,60.8,34.0,3.2,3.0,2,1
0,126.2,22.4,13.9,3.0,2,1
1,174.6,27.3,40.0,9.3,2,1
0,148.8,36.6,9.0,4.6,2,1
0,343.1,24.4,46.0,3.0,1,1
0,345.7,38.9,47.7,3.0,1,1
0,302.8,26.0,44.3,8.4,2,1
0,347.9,37.7,38.2,7.9,1,1
1,337.6,17.3,13.2,3.0,1,1
0,214.7,34.2,35.7,4.1,1,1
0,123.5,34.1,28.5,3.0,1,1
0,286.7,22.2,31.2,9.7,2,1
0,215.8,36.1,14.1,6.3,1,1
1,291.4,39.0,21.9,4.6,1,1
0,127.6,27.2,36.4,6.7,2,1
0,154.0,25.1,4.9,3.0,2,1
1,175.4,24.6,28.7,6.9,2,1
0,222.0,25.8,31.3,6.0,2,1
1,127.8,23.8,14.4,3.0,2,1
0,209.4,26.5,0.0,3.0,2,1
0,65.3,33.8,45.2,7.1,1,1
0,138.6,28.1,23.6,3.0,2,1
0,306.8,32.2,49.4,9.9,2,1
1,83.9,34.3,37.6,4.0,1,1
0,341.3,29.1,1.4,8.7,2,1
1,279.4,38.8,18.6,7.6,1,1
1,79.4,28.7,7.1,8.5,2,1
0,192.0,35.7,4.6,4.6,2,1
1,240.6,23.3,46.3,3.0,2,1
0,99.2,23.6,30.4,4.5,1,1
1,144.4,22.5,26.5,3.0,2,1
0,132.6,30.9,17.6,6.8,1,1
0,359.3,29.2,3.6,4.8,2,1
1,359.9,32.2,48.8,3.0,1,1
0,204.7,24.3,40.6,6.0,1,1
1,181.7,30.8,35.9,3.0,2,1
0,148.6,21.7,30.0,5.2,1,1
1,99.8,16.7,46.0,3.5,1,1
1,83.3,28.9,27.0,6.5,2,1
1,217.0,18.7,12.9,4.9,1,1
0,103.7,27.7,28.3,3.3,2,1
1,153.0,36.0,21.4,8.9,1,1
1,317.0,26.7,14.7,6.2,2,1
0,132.4,15.0,49.1,7.6,1,1
1,248.5,23.1,49.3,3.0,1,1
0,96.0,29.0,12.3,3.0,1,1
1,334.4,18.1,34.2,8.7,1,1
0,289.4,29.7,2.1,9.0,1,1
1,188.4,34.8,16.1,7.1,1,1
0,276.6,25.9,35.8,6.4,2,1
1,105.2,21.1,43.1,6.7,1,1
0,77.3,25.5,24.3,5.7,2,1
1,236.5,22.2,48.6,4.8,1,1
0,122.8,18.6,16.1,3.0,1,1
0,109.3,30.6,42.8,3.0,2,1
1,118.8,21.0,36.3,9.3,1,1
1,246.7,21.7,36.2,5.1,1,1
1,186.8,39.0,46.2,3.0,1,1
1,102.6,17.5,48.4,9.0,2,1
0,200.3,28.8,20.0,8.7,1,1
0,99.4,31.2,48.1,9.1,2,1
1,183.8,29.8,40.3,3.4,2,1
1,171.7,37.9,31.9,9.8,1,1
0,86.5,17.9,41.0,7.1,2,1
1,184.8,35.4,2.1,7.6,2,1
0,244.1,19.4,13.1,3.3,2,1
1,94.2,30.9,45.7,3.6,1,1
1,225.1,26.4,31.5,3.0,1,1
1,345.5,34.9,39.3,9.1,1,1
1,269.8,31.4,41.0,8.2,2,1
1,320.2,28.8,12.8,4.5,2,1
1,176.8,35.5,9.8,6.1,1,1
1,267.1,30.5,33.9,5.8,2,1
0,230.8,23.9,12.0,3.0,2,1
0,269.3,22.9,37.3,9.9,2,1
0,176.3,37.3,16.6,5.0,1,1
1,131.6,29.3,8.1,4.1,1,1
0,269.3,26.7,22.2,3.7,2,1
0,236.5,15.3,7.5,3.0,2,1
1,100.9,18.0,14.2,3.0,2,1
0,243.6,35.8,16.7,3.0,2,1
1,178.2,15.5,31.7,4.6,2,1
1,237.8,21.9,46.2,6.0,1,1
1,273.4,28.4,6.6,3.0,2,1
0,300.5,28.3,31.7,6.2,1,1
1,150.4,20.2,23.6,4.0,2,1
0,204.2,30.7,14.4,6.4,2,1
0,192.6,19.7,29.4,9.6,2,1
0,136.2,26.2,22.8,7.2,2,1
1,149.5,35.7,4.2,7.1,1,1
0,105.2,36.7,23.1,8.7,1,1
0,323.0,28.3,31.4,6.5,1,1
0,278.3,32.8,49.7,3.1,1,1
0,322.9,20.9,16.5,9.5,1,1
1,250.9,30.5,23.7,4.3,2,1
0,355.1,31.4,47.6,4.5,2,1
1,270.7,18.7,30.7,6.0,1,1
0,318.4,24.6,11.7,3.0,1,1
0,110.4,37.8,24.0,7.8,1,1
1,194.0,23.6,1.6,3.0,2,1
1,261.8,20.9,16.6,5.5,1,1
1,233.2,32.4,34.3,6.7,1,1
1,260.0,22.9,0.6,5.5,2,1
1,348.2,23.4,36.9,6.4,2,1
0,309.0,30.5,44.3,5.3,1,1
1,156.2,24.8,42.8,8.6,1,1
0,287.5,34.7,19.2,3.0,1,1
0,294.2,18.5,31.7,5.3,2,1
1,208.2,36.3,10.6,8.8,1,1
1,72.5,33.6,1.4,6.8,1,1
1,195.2,38.5,32.9,5.5,1,1
0,120.4,15.0,28.3,3.0,2,1
1,343.1,16.6,20.3,3.0,2,1
1,280.7,37.0,7.7,9.8,2,1
1,312.0,21.4,37.3,3.0,1,1
1,346.0,17.6,21.1,3.0,1,1
0,181.7,39.2,38.5,5.4,1,1
0,211.6,36.3,29.9,7.1,1,1
1,291.6,15.1,4.4,7.2,2,1
1,74.3,30.2,22.4,8.4,1,1
1,164.9,29.8,36.6,3.0,1,1
0,235.6,22.1,39.8,8.3,1,1
0,178.0,37.2,35.0,4.4,2,1
0,255.6,16.5,22.5,3.0,1,1
1,343.9,16.2,15.1,5.5,2,1
1,252.6,22.0,1.9,4.6,2,1
0,241.1,24.3,2.3,8.4,2,1
1,272.2,35.6,37.8,8.0,1,1
0,198.6,36.5,43.2,8.5,1,1
1,221.5,34.9,10.2,3.0,2,1
0,188.6,24.6,42.4,6.5,1,1
1,249.2,34.2,30.0,6.5,2,1
0,123.5,36.8,11.7,4.9,2,1
1,88.6,37.8,15.2,9.9,1,1
1,203.2,20.4,2.8,9.2,2,1
0,219.6,27.8,7.7,9.7,1,1
1,326.3,17.6,47.6,5.2,1,1
0,118.8,33.7,16.9,3.3,1,1
1,350.6,29.0,20.5,4.2,2,1
1,354.8,23.7,5.0,4.0,2,1
1,165.5,20.9,18.5,8.0,1,1
0,341.0,19.5,40.1,3.0,2,1
0,332.6,25.6,39.4,7.1,2,1
0,309.0,24.0,27.8,3.0,2,1
1,312.4,15.3,22.4,9.4,1,1
0,311.5,30.4,42.5,9.9,2,1
1,168.0,29.3,16.0,3.0,1,1
0,194.9,19.4,35.3,5.2,2,1
0,316.6,28.4,7.6,4.8,2,1
0,99.4,37.5,26.3,3.7,2,1
1,115.2,36.2,9.7,7.9,2,1
1,284.4,33.0,14.7,5.3,2,1
1,210.4,26.9,40.4,7.8,1,1
0,261.8,23.4,25.9,4.6,1,1
0,182.8,36.0,19.1,8.2,2,1
0,298.1,29.3,42.3,3.0,2,1
0,84.5,16.7,8.3,5.3,1,1
1,308.2,35.4,8.5,8.4,2,1
0,255.4,24.4,1.0,7.3,2,1
1,156.7,37.9,14.1,3.6,2,1
1,330.7,30.7,19.8,3.6,2,1
0,82.7,34.7,2.7,3.0,1,1
1,212.2,34.9,28.1,3.0,1,1
0,178.1,18.2,1.6,3.0,2,1
0,300.7,35.7,43.4,3.0,1,1
0,336.4,16.5,7.3,8.1,2,1
1,122.6,36.6,20.7,3.4,2,1
0,229.4,18.0,2.6,6.9,2,1
1,178.6,21.1,46.7,3.3,1,1
0,305.6,22.3,28.0,7.8,2,1
0,358.3,20.0,12.7,9.6,1,1
0,280.2,38.7,6.6,6.2,1,1
0,269.5,22.2,37.0,5.6,1,1
0,232.6,30.3,8.5,3.6,1,1
1,274.1,19.3,11.6,3.9,1,1
1,78.4,17.6,36.9,3.0,2,1
0,217.0,28.3,38.5,6.9,2,1
0,290.0,22.8,39.2,9.4,2,1
1,197.2,20.0,3.2,8.0,2,1
1,343.9,19.1,7.1,7.8,2,1
0,319.0,16.2,34.6,3.0,2,1
0,194.3,37.0,32.6,7.2,2,1
1,200.6,39.5,49.6,5.0,1,1
0,133.3,34.1,7.8,8.7,2,1
1,127.0,25.1,9.4,9.7,2,1
1,199.6,38.2,43.1,4.7,1,1
0,263.3,33.3,2.7,5.2,1,1
1,197.6,38.5,2.1,5.5,1,1
1,256.4,21.0,10.6,3.0,2,1
0,155.5,35.8,44.2,7.5,1,1
0,73.7,31.8,7.1,5.8,1,1
0,123.2,24.1,32.9,8.8,1,1
1,200.3,18.9,27.7,4.9,2,1
1,285.8,24.8,39.8,3.0,2,1
0,302.5,20.4,26.7,4.9,1,1
1,220.4,33.0,29.4,6.3,2,1
0,117.5,23.5,22.2,4.0,2,1
0,97.0,27.0,21.4,9.8,2,1
0,150.5,32.7,41.7,9.5,2,1
1,336.2,28.0,7.8,3.0,2,1
1,254.9,36.4,24.3,8.0,2,1
0,313.7,35.4,35.3,9.7,1,1
0,84.2,29.6,37.9,3.0,2,1
0,95.5,16.0,32.7,8.2,1,1
0,348.8,27.4,8.1,3.0,1,1
0,292.1,34.0,36.1,9.4,1,1
0,86.2,19.9,24.7,3.0,1,1
0,312.0,23.6,10.4,9.6,1,1
1,319.2,28.0,39.2,8.0,2,1
0,80.5,22.2,40.8,7.1,1,1
0,299.8,33.4,37.0,3.0,1,1
1,87.4,19.6,14.6,4.8,1,1
0,75.6,18.7,1.5,7.1,1,1
0,121.3,18.2,49.1,3.0,1,1
0,173.4,27.5,16.4,5.0,1,1
0,135.0,22.5,0.9,3.5,2,1
1,310.2,38.1,31.7,7.4,2,1
0,75.5,25.7,9.1,3.1,2,1
0,163.0,33.9,41.4,3.9,2,1
0,339.2,33.7,49.1,5.4,2,1
0,288.1,25.2,42.8,3.0,1,1
0,282.4,25.6,46.4,5.8,1,1
0,220.4,21.7,17.2,8.7,2,1
0,234.4,28.6,11.8,7.3,2,1
1,75.6,35.0,1.8,8.3,2,1
0,92.0,26.8,4.8,9.1,2,1
0,234.4,35.6,17.9,3.0,1,1
1,225.4,19.4,33.4,3.0,1,1
1,199.7,38.3,41.2,4.8,2,1
0,62.5,25.0,40.4,3.0,1,1
1,181.8,28.4,22.2,6.6,1,1
0,338.4,24.1,45.8,6.2,2,1
0,151.9,34.6,29.2,3.0,2,1
1,142.7,24.4,21.6,4.4,2,1
0,215.5,30.1,34.6,8.5,1,1
0,357.1,35.7,26.2,9.9,1,1
0,104.9,21.7,40.4,5.6,1,1
1,103.8,23.4,47.9,4.2,1,1
0,150.7,18.0,19.7,8.0,2,1
0,310.2,36.1,11.2,5.5,2,1
0,67.0,30.1,27.0,4.5,1,1
1,307.6,39.7,21.2,6.8,2,1
0,77.5,28.8,31.0,7.2,1,1
1,76.6,29.1,13.7,6.8,2,1
0,77.8,23.4,5.3,4.4,1,1
1,182.2,22.3,41.8,4.6,1,1
1,338.2,31.9,13.9,5.4,2,1
0,195.8,39.7,31.0,3.0,1,1
0,358.4,37.5,3.0,3.0,1,1
1,188.2,36.4,32.3,9.5,1,1
0,336.5,38.9,21.1,8.9,2,1
1,323.0,35.3,38.4,5.5,2,1
0,304.1,35.2,32.6,3.0,2,1
0,63.2,35.0,30.1,4.9,1,1
0,229.9,22.9,7.1,4.4,1,1
0,61.4,31.8,48.5,7.7,1,1
1,305.4,39.6,46.6,6.3,1,1
1,170.3,26.9,45.1,4.9,2,1
0,61.8,23.1,10.0,9.8,2,1
1,131.6,34.2,41.4,8.1,1,1
0,188.9,36.8,12.0,3.0,2,1
0,163.9,38.8,6.3,3.0,2,1
1,348.4,34.1,3.4,3.9,2,1
0,240.8,16.0,18.9,7.2,2,1
1,118.6,22.0,11.1,5.9,1,1
1,66.8,29.9,41.9,3.0,1,1
0,241.0,19.9,48.9,6.6,2,1
1,280.8,15.4,8.3,9.4,1,1
0,268.8,26.6,36.3,3.0,1,1
1,336.5,37.7,3.2,5.2,1,1
1,112.2,21.6,40.6,6.6,1,1
0,251.3,38.7,26.7,7.6,1,1
0,90.5,28.3,0.0,3.7,1,1
0,158.0,23.4,31.8,6.8,1,1
0,222.0,20.2,38.7,8.0,1,1
0,242.3,18.9,16.2,6.2,2,1
1,255.4,36.9,11.5,4.7,2,1
0,319.9,24.7,10.5,7.1,2,1
1,290.6,19.5,50.0,4.5,1,1
0,335.4,33.0,24.9,4.8,1,1
0,227.5,26.6,7.6,6.2,2,1
1,133.6,38.4,5.6,6.4,1,1
0,344.8,20.6,32.3,4.8,1,1
1,80.8,20.0,42.2,6.3,2,1
0,100.8,39.1,21.3,6.4,2,1
0,109.4,31.2,1.5,6.2,1,1
1,197.3,33.4,21.8,3.0,1,1
0,342.5,38.4,37.3,6.7,1,1
1,81.0,29.8,30.6,5.5,1,1
0,326.8,18.5,28.7,3.0,2,1
0,201.8,17.4,39.1,3.0,1,1
1,215.0,35.5,41.7,3.0,2,1
1,337.2,16.8,35.8,9.1,2,1
1,99.0,23.8,15.6,3.0,2,1
1,163.3,34.3,6.8,3.4,2,1
